name,rank
Erasmus University Rotterdam,1
Texas A&M University,2
University of Pennsylvania,3
Harvard University,4
University of Michigan-Ann Arbor,5
Duke University,6
Georgia State University,7
Indiana University Bloomington,8
INSEAD,9
University of North Carolina at Chapel Hill,10
Columbia University,11
"University of Maryland, College Park",12
Arizona State University,13
Pennsylvania State University - University Park,14
University of Washington,15
Michigan State University,16
Tilburg University,17
Northwestern University,18
University of South Carolina - Columbia,19
"University of Minnesota, Twin Cities",20
The University of Georgia,21
University of Leeds,22
The University of Texas at Austin,23
University of Southern California,24
Aalto University,25
University of Miami,26
Northeastern University (Boston),27
Bocconi University,28
"City, University of London",29
University of British Columbia,30
The Ohio State University - Columbus,31
New York University,32
University of Florida,33
University of Pittsburgh,34
Stanford University,35
University of Alberta,36
University of Groningen,37
University of Arizona,38
Cornell University,39
University of Toronto,40
University of Colorado at Boulder,41
University of Illinois at Urbana-Champaign,42
Boston University,43
Texas Christian University,43
Huazhong University of Science and Technology,45
The Hong Kong University of Science and Technology,46
University of Wisconsin - Madison,46
University of St. Gallen,48
"Rutgers, The State University of New Jersey - New Brunswick",49
The Hong Kong Polytechnic University,49
Babson College,51-75
Boston College,51-75
Dartmouth College,51-75
Florida State University,51-75
Ghent University,51-75
London Business School,51-75
Monash University,51-75
Nanyang Technological University,51-75
National University of Singapore,51-75
Singapore Management University,51-75
Temple University,51-75
The Chinese University of Hong Kong,51-75
The University of Hong Kong,51-75
The University of Melbourne,51-75
University of Cambridge,51-75
University of Chicago,51-75
University of Cincinnati,51-75
University of Montreal,51-75
University of Notre Dame,51-75
University of Oxford,51-75
University of Sydney,51-75
University of Warwick,51-75
Virginia Polytechnic Institute and State University,51-75
Western University,51-75
York University,51-75
Aston University,76-100
Copenhagen Business School,76-100
Hanken School of Economics,76-100
Hong Kong Baptist University,76-100
Imperial College London,76-100
Kedge Business School,76-100
KU Leuven,76-100
Lancaster University,76-100
Lehigh University,76-100
Maastricht University,76-100
Peking University,76-100
Rice University,76-100
Simon Fraser University,76-100
The University of Manchester,76-100
The University of Texas at Dallas,76-100
The University of Texas at San Antonio,76-100
Universitat Ramon Llull,76-100
"University of California, Berkeley",76-100
"University of California, Los Angeles",76-100
University of Houston,76-100
University of Kentucky,76-100
University of Tennessee - Knoxville,76-100
University of Virginia,76-100
Vrije Universiteit Amsterdam,76-100
Washington University in St. Louis,76-100
BI Norwegian Business School,101-150
Brigham Young University,101-150
Cardiff University,101-150
Carnegie Mellon University,101-150
Catholic University of Portugal,101-150
City University New York - Baruch College,101-150
City University of Hong Kong,101-150
Clemson University,101-150
Colorado State University,101-150
Concordia University,101-150
Emlyon Business School,101-150
Escuela Superior de Administracion y Direccion de Empresas (ESADE),101-150
Florida International University,101-150
Fudan University,101-150
George Mason University,101-150
Georgetown University,101-150
Georgia Institute of Technology,101-150
HEC Paris,101-150
Iowa State University,101-150
Johns Hopkins University,101-150
Massachusetts Institute of Technology (MIT),101-150
Massey University,101-150
Montpellier Business School,101-150
Newcastle University,101-150
NOVA University Lisbon,101-150
Oklahoma State University,101-150
Shanghai Jiao Tong University,101-150
Sun Yat-sen University,101-150
Syracuse University,101-150
The George Washington University,101-150
The University of Alabama - Tuscaloosa,101-150
The University of New South Wales,101-150
"The University of Newcastle, Australia",101-150
Tsinghua University,101-150
University of Amsterdam,101-150
University of Central Florida,101-150
University of Cologne,101-150
University of Connecticut,101-150
University of Iowa,101-150
University of Kansas,101-150
University of Mannheim,101-150
University of Missouri - Columbia,101-150
University of Muenster,101-150
University of Navarra,101-150
University of Nebraska - Lincoln,101-150
University of Oregon,101-150
University of South Florida,101-150
Washington State University,101-150
WU Vienna University of Economics and Business,101-150
Yale University,101-150
Aarhus University,151-200
Drexel University,151-200
